origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
United States,US,Netherlands,NL,sea,box,toys,950300,30,25000,no,,no,,Protect from moisture; safety certification marks; blister packs compliant
France,FR,Spain,ES,rail,crate,live animal,10619,400,18000,yes,Veterinary health certificate; quarantine; animal welfare rules,no,,Secure travel crates; temperature control; separate compartments
Netherlands,NL,Canada,CA,road,box,fresh fruit/vegetables,80810,25,12000,yes,Phytosanitary certificate; import permit; surface transport limits,no,,"Ventilated, temperature-controlled containers; humidity control"
Spain,ES,Indonesia,ID,sea,pallet,pharmaceutical (prescription),300490,1000,26000,yes,Licensed distributor; import license; cold chain validation,no,,Controlled atmosphere; temp 2-8C; validated monitoring system
Italy,IT,Saudi Arabia,SA,air,box,alcoholic beverages,220830,23,350,yes,Liquor import license; age verification; tax stamps,no,,Secure seal; dryness control; temperature 5-25C
United Arab Emirates,AE,South Africa,ZA,air,box,counterfeit goods,0,2,60,yes,Prohibited by customs; anti-counterfeiting controls; seizure risk,yes,Counterfeit goods prohibited under multiple jurisdictions; legal risk,Not allowed to ship; discard
Mexico,MX,Brazil,BR,road,case,pharmaceutical (prescription),300490,50,18000,yes,Pharmacist validation; import license; cold chain checks,no,,Temperature-controlled; tamper-evident seals; regulatory labeling
South Africa,ZA,United States,US,multimodal,crate,live animal,10619,400,26000,yes,Quarantine; veterinary permit; health certificate,no,,Containment pen; climate control; secure transport container
Singapore,SG,China,CN,sea,pallet,fresh fruit/vegetables,80810,1000,28000,yes,Phytosanitary certificate; inspection clearance; import permit,no,,Ventilated pallets; temperature control; humidity management
Netherlands,NL,France,FR,rail,box,toys,950300,40,16000,no,,no,,CPSC safety marks; child-safe packaging; tamper-evident seals
Indonesia,ID,Spain,ES,air,envelope,cosmetics,330499,2,80,no,,no,,Airline-compliant cosmetics containers; secure seals
United States,US,United States,US,courier,envelope,counterfeit goods,0,2,60,yes,Counterfeit goods prohibited; enforcement risk; import/export restrictions,yes,Counterfeit goods banned under law; seizure risk,Do not ship; return to sender
Japan,JP,Australia,AU,sea,pallet,fresh fruit/vegetables,80810,1000,25000,yes,Phytosanitary controls; quarantine inspection; import permit,no,,Cold storage; monitored temperature; moisture control
France,FR,United Kingdom,GB,road,box,cosmetics,330499,25,11000,no,,no,,Tamper-evident seals; VOC compliance; safety labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; Lithium batteries subject to ICAO/IAEA restrictions; need UN 3480/3481 labeling and packing instructions,no,,UN-certified packaging; fully insulated inner packaging; temperature-controlled handling if in cabin; tamper-evident seals
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,18000,no,,no,,Marine container with hazmat placards not required for finished electronics; ensure ESD-safe packaging
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,120,yes,Pharmaceuticals require proper licenses and controlled substances permit; cold chain if necessary,no,,Pharma-grade packaging; temperature control; chain-of-custody documentation
Germany,DE,Canada,CA,courier,box,cosmetics,330499,5,80,no,,no,,Tamper-evident seals; compliant ingredient labeling; cosmetics notification if required by destination
United Kingdom,GB,Australia,AU,air,box,fresh fruit/vegetables,80810,23,250,yes,Phytosanitary certificate required; ensure perishable handling and rapid transit,no,,Temperature-controlled 2-8°C; insulated packaging; moisture control
United States,US,Mexico,MX,multimodal,crate,live animal,10619,150,22000,yes,Veterinary health certificate; import permit; quarantine arrangements,yes,Live animals restricted due to regional disease risk,Specifically designed crates with ventilation; per-species handling guidelines
Japan,JP,South Korea,KR,rail,box,electronic devices,851712,30,20000,no,,no,,ESD-safe packaging; proper container securing; shock indicators
India,IN,United Kingdom,GB,road,box,chemical (industrial solvent),382200,25,12000,yes,Hazmat classification; IATA/IMDG labeling; permit for import chemical,no,,UN-approved packaging; secondary containment; venting for solvents
France,FR,Netherlands,NL,sea,pallet,toys,950300,1000,15000,no,,no,,Hazard-free packaging; choking hazard labeling where applicable; palletized for container stability
Italy,IT,Spain,ES,courier,envelope,pharmaceutical (prescription),300490,2,60,yes,Controlled substance handling; require prescriber documentation; cold chain if needed,no,,Cold chain capable envelope packing; secure seals; digital tracking
Singapore,SG,Canada,CA,air,box,live animal,10619,20,180,yes,Veterinary certificate; strict import approvals; quarantine requirements,yes,Wildlife protection concerns; some species restricted,"Secure, escape-proof cages; humane handling; temperature monitoring"
South Korea,KR,United States,US,sea,crate,chemical (industrial solvent),382200,4000,23000,yes,Hazmat class; need IMDG compatibility; shipper's declaration; ventilation,no,,UN-certified packaging; leak-proof containment; double-seal system
United Arab Emirates,AE,France,FR,multimodal,box,cosmetics,330499,10,12000,no,,no,,Tamper-evident seals; batch/lot numbers; compliant ingredient listing
China,CN,Spain,ES,air,box,electronic (consumer),851712,23,180,no,,no,,ESD-safe packaging; battery management and polarity protection
United States,US,Italy,IT,road,case,pharmaceutical (prescription),300490,50,15000,yes,"Prescription validation; controlled substance handling','banned_details':'",no,,"Secure, lockable case; temperature control if needed; chain-of-custody docs"
Netherlands,NL, Indonesia,ID,air,box,fresh fruit/vegetables,80810,20,120,yes,Phytosanitary inspection; import permit,no,,Refrigerated box with insulation; temperature data loggers
South Africa,ZA,Saudi Arabia,SA,sea,crate,live animal,10619,200,17000,yes,Export health certificate; export permit; border veterinary inspection,yes,Endangered species or biosafety risk; strict prohibition on certain animals,Secure oxygenated crates; monitoring equipment; biosecure transport
Mexico,MX,United Arab Emirates,AE,rail,box,used clothing,630900,25,9000,no,,no,,Freshly laundered packaging; avoid contamination; sorting requirements where applicable
Canada,CA,Singapore,SG,courier,envelope,toys,950300,2,40,no,,no,,Small parts safety compliant; tamper-evident seals; warning labels for small magnets
Spain,ES,Germany,DE,air,box,alcoholic beverages,220830,5,100,yes,Alcohol import license; age verification; labeling requirements,no,,Temperature-controlled packing; secure seals; batch/lot labeling; fill level checks
Australia,AU,Japan,JP,rail,crate,chemical (industrial solvent),382200,6000,12000,yes,Hazmat compliance; ventilation; shipping declaration; may require special permits,no,,"Secure, vented crates; leak-proof seals; compliant labeling"
India,IN,United States,US,air,box,lithium-ion battery,850760,5,200,yes,IATA DG declaration required; lithium batteries restricted in air transport; operator approval and proper packaging,no,,"UN38.3 testing, inner and outer packaging, flame- and shock-resistant packing; hazard labels where applicable"
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,25000,no,,no,,Containerized on pallet; moisture protection; tamper-evident seals for electronics
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,2,180,yes,Pharmacovigilance documentation; prescription validation; cold chain where required,no,,Temperature-controlled packaging; data loggers; chain-of-custody records
Germany,DE,United Kingdom,GB,road,crate,live animal,10619,150,15000,yes,Veterinary health certificate; import permit; compliance with animal welfare standards,yes,Biosecurity risk; restricted to approved carriers and destinations,Secure crates with animal-friendly restraints; temperature and humidity control; clear labeling
Australia,AU,Canada,CA,multimodal,box,fresh fruit/vegetables,80810,23,1200,no,,no,,Ventilated packaging; cold chain where needed; careful stacking to avoid bruising
United Arab Emirates,AE,Singapore,SG,air,envelope,cosmetics,330499,2,120,no,,no,,Tamper-evident seals; cosmetics in original packaging; compliant labeling
Japan,JP,South Korea,KR,rail,box,"electronic accessories (case, cables)",851712,25,18000,no,,no,,Anti-static packaging; proper cushioning; label with HS code
United States,US,Mexico,MX,road,box,used clothing,630900,20,15000,no,,no,,Original manufacturer packaging; avoid contamination; clear product labeling
India,IN,France,FR,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,Environmental and hazardous materials compliance; IATA/IMDG marking; MSDS available,no,,Hazmat-compatible packaging; proper segregation in containers; corrosion-resistant drums
South Africa,ZA,Italy,IT,air,box,toys (small),950300,2,180,no,,no,,Fragile labeling; secure small parts; age-appropriate packaging
Canada,CA,Spain,ES,courier,envelope,pharmaceutical (prescription),300490,2,60,yes,Cold-chain labeling; prescription verification; import clearance,no,,Insulated pouch; temperature log; tamper-evident seal
United Kingdom,GB,Netherlands,NL,rail,box,phytosanitary plant/seed,120991,25,9000,yes,Phytosanitary certificate; plant health inspection; import permit,no,,Pest-proof packaging; clear labeling; protective outer carton
France,FR,United Arab Emirates,AE,sea,crate,live animal,10619,200,20000,yes,Quarantine arrangements; veterinary health certificate; carrier approval,yes,Biosecurity risk; import restrictions for some species,Secure enclosure with ventilation; medical records accompanying the animal
Italy,IT,Singapore,SG,air,box,alcoholic beverages,220830,6,300,yes,Excise and import licensing; beverage alcohol labeling requirements,no,,Age verification at check-in; tamper-evident seals; temperature stable packaging
Spain,ES,Canada,CA,sea,pallet,cosmetics,330499,1000,22000,no,,no,,Cosmetics packed in secure cases; hazard labeling where required; batch numbers
Netherlands,NL,South Africa,ZA,rail,crate,chemical (industrial solvent),382200,4000,18000,yes,Hazmat classification; air/slbine restrictions where applicable; MSDS,yes,Prohibited due to toxicity and environmental risk,Hazmat compliant inner packaging; vented containers; segregation from incompatible goods
Mexico,MX,Japan,JP,air,box,pharmaceutical (prescription),300490,2,150,yes,Controlled substance verification; import license; cold-chain where needed,no,,Cold chain; temperature data logger; sealed outer packaging
Indonesia,ID,United States,US,courier,envelope,fresh fruit/vegetables,80810,2,80,no,,no,,Air-tight packaging; thermal insulation; proper moisture control
Saudi Arabia,SA,Australia,AU,multimodal,box,phytosanitary plant/seed,120991,25,14000,yes,Phytosanitary cert; quarantine inspection; import permit,no,,Sterile packaging; pest-proof containment; origin phytosanitary certificate
India,IN,United States,US,air,box,lithium-ion battery,850760,2,200,yes,IATA DG declaration required; UN38.3 testing and labeling; battery pack approval,no,,UN-certified packaging; inline battery terminals protected; temperature control not required for single cell
China,CN,Germany,DE,air,box,electronic consumer electronics,851712,23,300,yes,Customs valuation and CE marking; battery components restricted,no,,Tamper-evident seals; compliant with IATA Dangerous Goods Regulations for electronics
Brazil,BR,Japan,JP,sea,crate,pharmaceutical (prescription),300490,1000,25000,yes,Pharmaceutical import license; GMP compliance; temperature controlled shipping 2-8C,no,,UN-approved pharma packaging; temperature logger; chain of custody documentation
Australia,AU,Canada,CA,road,box,cosmetics,330499,23,15000,no,,no,,Seal intact; labeling per country regulations; batch codes
France,FR,Spain,ES,rail,pallet,live animal,10619,500,18000,yes,Veterinary health certificate; import permit; quarantine requirements,no,,Appropriate containment; transport container with ventilation; humane handling
Japan,JP,South Korea,KR,courier,envelope,pharmaceutical (prescription),300490,2,120,yes,IATA/ICAO DG declaration; controlled substance controls in destination,no,,Tamper-evident seal; pharmacist letter if required; temperature control not mandatory for envelope
United Kingdom,GB,United States,US,air,box,fresh fruit/vegetables,80810,23,250,no,,no,,Fresh cargo requires cold chain where applicable; moisture-guard packaging
Singapore,SG,United Kingdom,GB,sea,crate,live animal,10619,600,22000,yes,Quarantine clearance; export/import permits; veterinary certification,no,,Containerized crate; labeling for animal welfare; proper bedding
Canada,CA,Mexico,MX,road,box,used clothing,630900,25,12000,no,,no,,Original packaging; no prohibited elements; moisture protection
Italy,IT,Spain,ES,multimodal,pallet,toys,950300,1000,22000,no,,no,,Tamper-evident packaging; age-appropriate labeling; safety certifications
Netherlands,NL,France,FR,rail,case,electronics (consumer),851712,32,18000,yes,Dual-use electronic components; export controls; BAfA clearance where required,no,,Crate with shock indicators; internal cushioning; static-safe packaging
United Arab Emirates,AE,Saudi Arabia,SA,air,box,alcoholic beverages,220830,23,300,yes,Import permit; beverage tax administration; age verification at import,no,,"Tamper-evident seal; temperature stable, glass packaging preferred"
Mexico,MX,United States,US,courier,envelope,cosmetics,330499,2,60,no,,no,,Cosmetics technical file; batch code; sealed packaging
South Africa,ZA,Australia,AU,sea,pallet,chemical (industrial solvent),382200,1000,26000,yes,Hazmat regulations; MSDS; dangerous goods classification; IMDG packaging,no,,Hazard labels; segregated compartments; temperature control where needed
Spain,ES,United Kingdom,GB,air,box,pharmaceutical (prescription),300490,23,250,yes,Pharmacovigilance reporting; import license; cold chain if required,no,,Chain of custody; cold chain packaging where needed; TIC documentation
Indonesia,ID,Netherlands,NL,sea,crate,seed/plant,120991,5000,24000,yes, phytosanitary clearance; phytosanitary certificate; import permit,no,,Fumigation certificate; pest-free packaging; moisture control
Saudi Arabia,SA,India,IN,rail,box,live animal,10619,400,18000,yes,Veterinary health certificate; import/export permit; quarantine requirements,no,,Secure transport container; documentation inside/outside; humane handling
United States,US,Canada,CA,road,box,counterfeit goods,0,20,1200,yes,Trademark/copyright enforcement; anti-counterfeit controls,yes,Counterfeit goods prohibited; seizures by authorities,Clear origin labeling; avoid deceptive packaging
China,CN,Spain,ES,multimodal,case,used clothing,630900,60,15000,no,,no,,Batch labeling; humidity resistant packaging; export/import declarations
Germany,DE,Italy,IT,rail,pallet,chemical (industrial solvent),382200,5000,25000,yes,Hazmat classification; IMDG labeling; permit for dangerous goods movement,no,,Hazmat placards; segregated compartments; spill containment
Japan,JP,Singapore,SG,air,box,electronics (consumer),851712,23,180,yes,IATA DG declaration; CE compliant; cross-border data security notes,no,,Antistatic packaging; ESD-safe inner bags; battery containment
Mexico,MX,Italy,IT,courier,envelope,pharmaceutical (prescription),300490,2,60,yes,Pharmacovigilance reporting; import license; cold chain if required,no,,Temp-controlled envelope; HIPAA-compliant handling if applicable; signature on delivery
France,FR,Netherlands,NL,air,box,fresh fruit/vegetables,80810,23,300,no,,no,,Refrigerated packaging; insulation; moisture control
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; lithium battery shipping limits apply; advance notification to carrier and hazmat handling,no,,UN-certified packaging required; temperature control not needed; tamper-evident seals recommended
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,20000,no,,no,,Shock-absorbent padding; moisture barrier bags; standard palletization
Brazil,BR,Canada,CA,multimodal,crate,cosmetics,330499,500,18000,no,,no,,Tamper-evident seals; temperature controlled 15-25C unlikely; packaging per cosmetic standards
Germany,DE,Italy,IT,road,box,pharmaceutical (prescription),300490,25,12000,yes,Export license where required; accompanying documentation incl. GMP compliant certificate,no,,Original manufacturer packaging; cold chain verification not always required but recommended
Japan,JP,Spain,ES,air,envelope,pharmaceutical (prescription),300490,2,120,yes,IATA DG declaration; controlled substances compliance checked,no,,Tamper-evident seal; secure with risk mitigation labels
United States,US,Australia,AU,sea,pallet,fresh fruit/vegetables,80810,1000,25000,yes,Phytosanitary certificate; import permit in some jurisdictions,no,,Ventilated pallets; proper ventilation holes; humidity control if possible
India,IN,Saudi Arabia,SA,air,box,live animal,10619,0.5,50,yes,Veterinary certificate; import permit; animal health declaration,yes,Biosecurity risk; some species restricted,Secure travel crates; temperature control where applicable; minimal handling
Canada,CA,Mexico,MX,road,box,used clothing,630900,20,9000,no,,no,,Original factory packaging or new clean bags; avoid contamination
Australia,AU,Japan,JP,courier,envelope,cosmetics,330499,2,60,no,,no,,Sealed with safety lids; avoid leakage; compact packaging
South Korea,KR,Singapore,SG,air,box,electronicss (consumer),851712,23,200,yes,IATA DG declaration; lithium battery presence must be declared; packaging per hazmat rules,no,,UN packaging; quantity limits per shipment
Netherlands,NL,France,FR,rail,crate,chemical (industrial solvent),382200,1000,22000,yes,Hazardous material regulations; proper labeling; MSDS and emergency contact,no,,UN certified packaging; segregation by hazard class; spill containment
Spain,ES,United Kingdom,GB,multimodal,case,pharmaceutical (prescription),300490,100,18000,yes,Pharmacovigilance reporting; import license where applicable; certificate of analysis,no,,Cold chain where needed; insulated cases; verify lot numbers
Italy,IT,Italy,IT,road,box,toys,950300,50,10000,no,,no,,Toys conforming to safety standards; counterfeit risk mitigated
France,FR,Netherlands,NL,sea,pallet,electronics (consumer),851712,1000,25000,no,,no,,ESD-safe packaging; moisture barrier; secure palletization
United Kingdom,GB,Canada,CA,air,box,pharmaceutical (prescription),300490,25,200,yes,IATA DG declaration; controlled substance controls; cross-border health paperwork,no,,Cold chain; certified packaging; validated weight and integrity checks
Mexico,MX,Brazil,BR,rail,crate,live animal,10619,2,2000,yes,Veterinary export health certificate; quarantine considerations,no,,Biocontainment crates; humane handling; correct labeling
Indonesia,ID,Saudi Arabia,SA,courier,envelope,fresh fruit/vegetables,80810,2,40,yes,Phytosanitary certificate; import clearance,no,,"Ventilated, compact packaging; sealed bags to minimize spoilage"
United Arab Emirates,AE,Spain,ES,air,box,cosmetics,330499,2,100,no,,no,,Tamper-evident seals; compliant labeling; safe handling
Canada,CA,United States,US,courier,envelope,pharmaceutical (prescription),300490,1,50,yes,IATA DG declaration; cross-border pharmaceutical controls,no,,Cold chain; insulated packaging; lot tracing
South Africa,ZA,Netherlands,NL,sea,pallet,live animal,10619,1000,25000,yes,CITES permits where applicable; veterinary checks at destination,no,,Biocontainment crates; proper ventilation; humane transport
Singapore,SG,United Kingdom,GB,rail,crate,chemical (industrial solvent),382200,8000,19000,yes,Hazard class labeling; MSDS; emergency response details,no,,UN certified packaging; segregation by hazard class
Italy,IT,South Korea,KR,air,box,lithium-ion battery,850760,2,120,yes,IATA hazmat declaration; lithium battery limits; carrier notification,no,,Approved lithium battery packaging; fire containment measures
France,FR,Indonesia,ID,courier,envelope,counterfeit goods,0,1,20,yes,Counterfeit goods prohibited; trade enforcement; customs seizure risk,yes,Illicit goods; enforcement penalties,Strict compliance; declare accurately; avoid misrepresentation
Japan,JP, United States,US,air,box,pharmaceutical (prescription),300490,25,250,yes,IATA DG declaration; controlled substances; cross-border health checks,no,,Cold chain; validated lot; secure packaging
United Kingdom,GB,Mexico,MX,sea,pallet,fresh fruit/vegetables,80810,1200,24000,yes,Phytosanitary certificate; import permits in some ports,no,,Ventilated pallets; temperature monitoring; humidity control
India,IN,United States,US,air,box,lithium-ion battery,850760,2,120,yes,IATA DG declaration required; Lithium ion cells/batteries subject to packing and labeling rules; battery energy content verification,no,,UN-certified packaging required; Temperature controlled environment not necessary for non-thermal batteries; Tamper-evident seals
China,CN,Canada,CA,sea,pallet,electronic consumer electronics,851712,1000,25000,yes,Export controls; dual-use electronics may require license,no,,Sea-ready pallet with desiccants; tamper-evident seals; moisture barrier
Germany,DE,France,FR,rail,crate,pharmaceutical (prescription),300490,600,18000,yes,Good Manufacturing Practice compliance; import permits,no,,Temperature controlled 2-8°C; validated cold chain; humidity control
Brazil,BR,Spain,ES,road,box,cosmetics,330499,25,1500,no,,no,,Sealed airtight packaging; cosmetic product labeling per destination country
Japan,JP,Australia,AU,air,envelope,pharmaceutical (prescription),300490,2,150,yes,IATA DG; require pharmaceutical import license; sealed sterile packaging,no,,Tamper-evident seal; cold chain integrity; prescription documentation
United States,US,Mexico,MX,courier,envelope,fresh fruit/vegetables,80810,2,200,yes,Phytosanitary certificate required; fumigation may be restricted,no,,Cool-chain where required; breathable yet protective packaging
India,IN,United Kingdom,GB,multimodal,box,live animal,10619,15,1200,yes,Veterinary certificate; import permit; animal health clearance,yes,Wildlife protection; certain species restricted,Secure containment; independent carrier handover; species-specific containment
China,CN,Singapore,SG,sea,crate,plants/seeds,120991,5000,22000,yes,Phytosanitary certificate; seed import permit,no,,Tamper-evident seal; pest-free packaging; moisture barriers
United Kingdom,GB,Japan,JP,air,box,electronic (consumer),851712,23,180,yes,IATA DG; class 9 electronics; declaration,no,,UN-certified packaging; ESD-safe packing
France,FR,Germany,DE,rail,crate,chemical (industrial solvent),382200,1000,18000,yes,Hazmat compliance; SDS; packaging per ADR/IMDG,no,,Hazmat labels; secondary containment; temperature control where needed
South Korea,KR,Netherlands,NL,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,IMDG dangerous goods; proper labeling; segregation,no,,IBC or UN-approved bulk containers; acid/alkali separation methods
Australia,AU,New Zealand,NZ,road,box,pharmaceutical (prescription),300490,25,4000,yes,Good Distribution Practice; import permit; license,no,,Cold chain; validated packaging; triple packaging for sterile products
United Arab Emirates,AE,Saudi Arabia,SA,air,box,cosmetics,330499,10,600,yes,Cosmetics import permit; product safety registration,no,,Tamper-evident seal; batch/lot numbers; appropriate labeling
Netherlands,NL,Italy,IT,courier,envelope,pharmaceutical (prescription),300490,2,120,yes,IATA DG; pharmaceutical CDS and GMP compliance; import permission,no,,Cold chain; sterile packaging; documentation with prescription
Spain,ES,France,FR,air,box,fresh fruit/vegetables,80810,2,180,yes,Phytosanitary certificate; pest risk assessment; import permit,no,,Cool chain; ventilated packaging; moisture control
Canada,CA,United Kingdom,GB,multimodal,pallet,live animal,10619,60,18000,yes,Veterinary health certificates; quarantine arrangements,yes,Endangered species restrictions; import ban on certain wildlife,Secure transport kennel; veterinary handover; continuous monitoring
Mexico,MX,South Korea,KR,sea,crate,toys,950300,4000,24000,no,,no,,Child-safe packaging; choking hazard warnings; protective packaging
Indonesia,ID,Indonesia,ID,rail,box,electronics (consumer),851712,40,1500,yes,Import controls; radio frequency restrictions; electronics safety,no,,ESD-safe packaging; anti-static bags; secure sealing
Saudi Arabia,SA,Saudi Arabia,SA,courier,envelope,cosmetics,330499,2,300,yes,Product safety registration; labeling in local language,no,,Tamper-evident seal; batch numbers; safety labels
India,IN,United States,US,air,box,lithium-ion battery,850760,2,400,yes,IATA DG declaration required; lithium batteries restricted to certain shipping conditions; hazard classification must be declared,no,,UN-certified packaging required; strong outer carton; battery terminals protected against short circuit
China,CN,Germany,DE,sea,crate,electronics (consumer),851712,5000,28000,yes,DG regulations apply; package must have IMDG labeling; dangerous goods declaration where applicable,no,,Sea freight: robust wooden crate; tamper-evident seals; moisture barrier
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Pharmacovigilance requirements; controlled substance checks; import permit,no,,Pharmaceutical-grade packaging; sealed pouch or secure box; cold chain as needed
Canada,CA,United Kingdom,GB,courier,envelope,used clothing,630900,2,120,no,,no,,New packaging; sealed polybags; clear labeling
United States,US,India,IN,multimodal,box,chemical (industrial solvent),382200,23,25000,yes,Hazardous materials; UN numbers and hazmat labeling; transport document per mode,no,,UN-certified packaging; secondary containment; temperature control if flammable
Germany,DE,France,FR,rail,crate,live animal,10619,30,18000,yes,Veterinary certificates; health checks; import permit; quarantine may be required,yes,Wildlife protection laws; restricted species,Secure crate; escape-proof; ventilation; animal welfare compliant
Japan,JP,South Korea,KR,road,box,fresh fruit/vegetables,80810,20,15000,no,,no,,Cooling packs; insulated box; moisture barrier
Italy,IT,Spain,ES,sea,pallet,cosmetics,330499,1000,20000,yes,Cosmetics may require cosmetic product safety reports; labeling per destination country,no,,Palletized with shrink wrap; tamper-evident seals; product cards in local language
Netherlands,NL,Canada,CA,air,box,electronics (consumer),851712,23,350,yes,IATA lithium battery handling; proper classification and DG declaration,no,,Battery-safe packaging; anti-static bag; insulating inserts
South Africa,ZA,Australia,AU,multimodal,box,pharmaceutical (prescription),300490,25,18000,yes,Pharmacy import controls; require prescription validation; cold-chain if required,no,,Tamper-evident seals; cold-chain packaging if needed; GMP-compliant labeling
Mexico,MX,Spain,ES,courier,envelope,toys (small),950300,2,80,no,,no,,Secure small parts packaging; tamper-evident seal; instruction leaflet in local language
India,IN,Singapore,SG,air,box,electronics (consumer),851712,23,420,yes,IATA DG declaration; restricted items require additional approvals,no,,Anti-static shielded box; outer carton with hazard labeling if needed
China,CN,United Arab Emirates,AE,sea,crate,live animal,10619,50,26000,yes,Export health certificate; veterinary inspection; import permit,no,,Ventilated crate; secure latching; labeling per destination rules
South Korea,KR,Italy,IT,rail,box,chemical (industrial solvent),382200,30,14000,yes,Hazardous materials class; ADR/IMDG compliance; proper signage,no,,UN-approved packaging; secondary containment; spill kit included
Spain,ES,Netherlands,NL,road,box,fresh fruit/vegetables,80810,25,12000,no,,no,,Temperature-controlled transport; insulated packaging; refrigerant packs
France,FR,Mexico,MX,courier,envelope,cosmetics,330499,2,100,yes,Cosmetics import controls; product safety documentation; labeling per country,no,,"Sealed, tamper-evident outer envelope; compliant labeling"
United Kingdom,GB,Canada,CA,air,box,pharmaceutical (prescription),300490,2,200,yes,Prescription validation; GMP labeling; cold-chain if required,no,,Temperature-controlled packaging; secure bubble wrap; clear medicine labeling
Japan,JP,United States,US,sea,pallet,live animal,10619,400,26000,yes,Health certificate; vaccination records; import permit; quarantine if needed,no,,Sturdy ventilated pallet crate; secure strapping; humane transport
Indonesia,ID,Saudi Arabia,SA,air,box,pharmaceutical (prescription),300490,2,120,yes,Pharmacy import controls; rationalizing permitted substances; secure dispensing records,no,,Temp-controlled packaging; tamper-evident seals; regulatory labeling
United Arab Emirates,AE,Mexico,MX,rail,crate,toys (small),950300,40,9000,no,,no,,Impact-resistant packaging; secure seals; clear assembly instructions
India,IN,Japan,JP,multimodal,box,electronics (consumer),851712,23,360,yes,DG declaration; field-level testing for devices; compliance with destination safety standards,no,,ESD-safe packaging; padded inner carton; outer carton with hazard label if required
India,IN,United States,US,air,envelope,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; lithium battery restrictions apply; proper packaging and marking,no,,UN-certified packaging; temperature-controlled handling not required for small consumer batteries; tamper-evident seals
China,CN,Germany,DE,sea,crate,electronics (consumer),851712,5000,25000,yes,Import license and end-user certificate may be required; electronics compliance checks,no,,Sea-worthy crate with moisture-proof lining;는 market-specific labeling
Brazil,BR,Canada,CA,air,box,pharmaceutical (prescription),300490,23,300,yes,Pharmaceutical import permit; temperature monitoring; cold chain considerations,no,,FDA/Health Canada compliant packaging; cold-chain validated; tamper-evident seals
Germany,DE,France,FR,rail,pallet,pharmaceutical (prescription),300490,1000,18000,yes,Pharmacy license; EU GDP compliance; customs code verification,no,,GMP-compliant packaging; temperature data logger; secure pallet addressing
Japan,JP,Australia,AU,sea,box,cosmetics,330499,20,22000,no,,no,,COSMETIC product packaging per AU/NZ labeling rules; MSDS not required for cosmetics
United States,US,Mexico,MX,road,crate,live animal,10619,50,12000,yes,Health certificate required; veterinary clearance; phytosanitary inspection,yes,Biosecurity risk; live animals not allowed across certain borders without permits,Secure containment; humane handling; temperature control if applicable
India,IN,United Kingdom,GB,air,box,fresh fruit/vegetables,80810,23,320,yes,Phytosanitary certificate required; pest risk assessment may be needed,no,,Ventilated packaging; cold chain where needed; compliant with UK import norms
China,CN,South Korea,KR,courier,envelope,cosmetics,330499,2,60,yes,Product safety compliance with Korean cosmetics act; labeling requirements,no,,Tamper-evident seal; proper ingredient listing in Korean; batch codes
United Kingdom,GB,Singapore,SG,air,box,electronicS (consumer),851712,23,260,no,,no,,UL/CE marking; compliance packaging; ESD-safe inner packaging
Canada,CA,Japan,JP,rail,pallet,toys,950300,1000,20000,no,,no,,Child-safety compliant packaging; tamper-evident packaging; secures on pallet
Australia,AU,Netherlands,NL,multimodal,crate,pharmaceutical (prescription),300490,5000,24000,yes,EU customs GDP checks; import licenses may apply; cold chain verification,no,,Validated cold chain transport; temperature loggers; GMP-compliant packaging
Spain,ES,France,FR,sea,box,live animal,10619,30,25000,yes,Veterinary health certificate; customs veterinary clearance; import quota considerations,yes,Biosecurity risk; endangered status concerns,Secure containment; species-specific handling; quarantine considerations
Netherlands,NL,Italy,IT,road,box,fresh fruit/vegetables,80810,23,15000,yes,Pest risk assessment; phytosanitary inspection for some items,no,,Ventilated packaging; humidity control; compliant with Italian/EU norms
Mexico,MX,Canada,CA,air,envelope,pharmaceutical (prescription),300490,2,120,yes,Drug regulatory authority approval; safe packaging; cold chain if necessary,no,,Pharmacovigilance labeling; tamper-evident seal; temperature monitoring
Saudi Arabia,SA,United Arab Emirates,AE,courier,envelope,chemical (industrial solvent),382200,2,50,yes,Hazmat classification; sulfurous solvents; proper labeling,no,,Hazmat packaging; leak-proof containers; proper UN markings
Italy,IT,Spain,ES,rail,box,cosmetics,330499,25,18000,no,,no,,Cosmetics compliance labeling; batch coding; allergen disclosure
France,FR,United Kingdom,GB,multimodal,crate,live animal,10619,40,9000,yes,Animal health certificate; post-BREXIT import controls; veterinary checks,yes,Biosecurity risk; some live species restricted,Quarantine facilities; secure transport; species-specific handling
